Vote,Sector,Subprogram,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Performance (%),Deviation (UGX),Execution Status
010,Agriculture,"221005 Hire of Venue (chairs, projector etc) 0.01 0.01 0.01 100.0% 100.0% 100.0%
221006 Commissions and Related Charges 0.01 0.01 0.01 100.0% 100.0% 100.0%
221007 Books, Periodicals and Newspapers 0.03 0.03 0.03 100.0% 100.0% 100.0%
221008 Computer Supplies and IT Services 0.03 0.03 0.03 100.0% 100.0% 100.0%
221009 Welfare and Entertainment 0.01 0.01 0.01 100.0% 100.0% 100.0%
221010 Special Meals and Drinks 1.50 1.50 1.50 100.0% 100.0% 100.0%
221011 Printing, Stationery, Photocopying and Binding 0.08 0.08 0.08 100.0% 100.0% 100.0%
221012 Small Office Equipment 0.01 0.01 0.01 100.0% 100.0% 100.0%
221014 Bank Charges and other Bank related costs 0.01 0.01 0.01 100.0% 100.0% 100.0%
221015 Financial and related costs (e.g. Shortages, pilfrages 0.00 0.00 0.00 100.0% 100.0% 100.0%
221016 IFMS Recurrent Costs 0.00 0.00 0.00 100.0% 100.0% 100.0%
222001 Telecommunications 0.01 0.01 0.01 100.0% 100.0% 100.0%
222002 Postage and Courier 0.00 0.00 0.00 100.0% 100.0% 100.0%
222003 Information and Communications Technology 0.01 0.01 0.01 100.0% 100.0% 100.0%
223001 Property Expenses 0.01 0.01 0.01 100.0% 100.0% 100.0%
223002 Rates 0.01 0.01 0.01 100.0% 100.0% 100.0%
223003 Rent - Produced Assets to private entities 0.01 0.01 0.01 100.0% 100.0% 100.0%
223004 Guard and Security services 0.01 0.01 0.01 100.0% 100.0% 100.0%
223005 Electricity 0.01 0.01 0.01 100.0% 100.0% 100.0%
223006 Water 0.01 0.01 0.01 100.0% 100.0% 100.0%
223007 Other Utilities- (fuel, gas, f 0.00 0.00 0.00 100.0% 100.0% 100.0%
224001 Medical and Agricultural supplies 0.01 0.01 0.01 100.0% 100.0% 100.0%
224002 General Supply of Goods and Services 0.13 0.13 0.13 100.0% 100.0% 100.0%
225001 Consultancy Services- Short-term 0.04 0.04 0.04 100.0% 100.0% 100.0%
226001 Insurances 0.01 0.01 0.01 100.0% 100.0% 100.0%
226002 Licenses 0.00 0.00 0.00 100.0% 100.0% 100.0%
227001 Travel Inland 0.05 0.05 0.05 100.0% 100.0% 100.0%
227002 Travel Abroad 0.03 0.03 0.03 100.0% 100.0% 100.0%
227003 Carriage, Haulage, Freight and Transport Hire 0.01 0.01 0.01 100.0% 100.0% 100.0%
227004 Fuel, Lubricants and Oils 0.08 0.08 0.08 100.0% 100.0% 100.0%
228001 Maintenance - Civil 0.01 0.01 0.01 100.0% 100.0% 100.0%
228002 Maintenance - Vehicles 0.05 0.05 0.05 100.0% 100.0% 100.0%
228003 Maintenance Machinery, Equipment and Furniture 0.02 0.02 0.02 100.0% 100.0% 100.0%
228004 Maintenance Other 0.01 0.01 0.01 100.0% 100.0% 100.0%
273103 Retrenchment costs 0.00 0.00 0.00 100.0% 100.0% 100.0%
282101 Donations 0.00 0.00 0.00 100.0% 100.0% 100.0%
282102 Fines and Penalties 0.00 0.00 0.00 100.0% 100.0% 100.0%
282103 Scholarships and related costs 0.04 0.04 0.04 100.0% 100.0% 100.0%
282104 Compensation to 3rd Parties 0.00 0.00 0.00 100.0% 100.0% 100.0%
Output Class: Outputs Funded 1.04 1.04 1.04 100.0% 100.0% 100.0%
262101 Contributions to International Organisations (Curre 0.03 0.03 0.03 100.0% 100.0% 100.0%
264101 Contributions to Autonomous Inst. 0.99 0.99 0.99 100.0% 100.0% 100.0%
264201 Contributions to Autonomous In 0.03 0.03 0.03 100.0% 100.0% 100.0%
Output Class: Capital Purchases 1.40 1.40 1.40 100.0% 100.0% 100.0%
311101 Land 0.36 0.36 0.36 100.0% 100.0% 100.0%
312101 Non-Residential Buildings 0.42 0.42 0.42 100.0% 100.0% 100.0%
312103 Roads and Bridges 0.01 0.01 0.01 100.0% 100.0% 100.0%
312201 Transport Equipment 0.05 0.05 0.05 100.0% 100.0% 100.0%",Unknown,100.0,,,,,
013,Education,"VF:0781 Pre-Primary and Primary Education
Class:Outputs Provided
078100 Pre-Primary and Primary Education",Unknown,465.15,,,,,
013,Education,"VF:0782 Secondary Education
Class:Outputs Provided
078200 Secondary Education",Unknown,123.25,,,,,
014,Health,"VF:0801 Sector Monitoring and Quality Assurance
VF:0849 Policy, Planning and Support Services
VF:0805 Pharmaceutical and other Supplies
VF:0802 Health systems development
VF:0803 Health Research
VF:0804 Clinical and public health",Unknown,1.4,,,,,
014,Health,"VF:0802 Health systems development
Class:Capital Purchases
080272 Government Buildings and Administrative Infrastructure
080275 Purchase of Motor Vehicles and Other Transport Equipment
080276 Purchase of Office and ICT Equipment, including Software
080277 Purchase of Specialised Machinery & Equipment",Unknown,10.86,,,,,
014,Health,"VF:0803 Health Research 2.21 2.21 2.21 100.0% 100.0% 100.0%
Class:Outputs Provided 1.97 1.97 1.97 100.0% 100.0% 100.0%
080301 Monitoring of Diseases,performance of their interventions and 1.26 1.26 1.26 100.0% 100.0% 100.0%
investigate outbreaks
080302 Chemotherapeutic Research (Chemo. Lab) 0.33 0.33 0.33 100.0% 100.0% 100.0%
080303 Research coordination 0.38 0.38 0.38 100.0% 100.0% 100.0%
Class:Outputs Funded 0.24 0.24 0.24 100.0% 100.0% 100.0%
080351 Specialised Medical Research in HIV/AIDS and Clinical Care 0.24 0.24 0.24 100.0% 100.0% 100.0%
(JCRC)",Unknown,2.21,,,,,
014,Health,"VF:0849 Policy, Planning and Support Services
Class:Outputs Provided
084901 Policy, consultation, planning and monitoring services
084902 Ministry Support Services
084903 Ministerial and Top Management Services
Class:Outputs Funded
084951 Transfers to International Health Organisation
084952 Health Regulatory Councils",Unknown,9.51,,,,,
010,Agriculture,"221008 Computer Supplies and IT Services
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent Costs
222001 Telecommunications
222002 Postage and Courier
222003 Information and Communications Technology
223001 Property Expenses
223002 Rates
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, f
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
225001 Consultancy Services- Short-term
225002 Consultancy Services- Long-term
227001 Travel Inland
227002 Travel Abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
228004 Maintenance Other
273102 Incapacity, death benefits and and funeral expenses
282103 Scholarships and related costs
Output Class: Outputs Funded
262101 Contributions to International Organisations (Curre
264101 Contributions to Autonomous Inst.
264102 Contributions to Autonomous Inst. Wage Subventio
Output Class: Capital Purchases
281503 Engineering and Design Studies and Plans for Capi
281504 Monitoring, Supervision and Appraisal of Capital
312101 Non-Residential Buildings
312201 Transport Equipment
312202 Machinery and Equipment
312204 Taxes on Machinery, Furniture & Vehicles
Output Class: Outputs Provided
211101 General Staff Salaries",Unknown,0.1,,,,,
010,Agriculture,"Output Class: Outputs Provided
211103 Allowances
213001 Medical Expenses(To Employees)
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221006 Commissions and Related Charges
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
223004 Guard and Security services
223007 Other Utilities- (fuel, gas, f
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
227001 Travel Inland
227002 Travel Abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
Output Class: Capital Purchases
312101 Non-Residential Buildings
312201 Transport Equipment
312202 Machinery and Equipment
312203 Furniture and Fixtures
312204 Taxes on Machinery, Furniture & Vehicles",Unknown,0.78,,,,,
010,Agriculture,"Output Class: Outputs Provided
211103 Allowances
221003 Staff Training
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
224001 Medical and Agricultural supplies
Output Class: Capital Purchases
312101 Non-Residential Buildings
312103 Roads and Bridges
312202 Machinery and Equipment
312203 Furniture and Fixtures",Unknown,0.06,,,,,
014,Health,"VF:0859 Pharmaceutical and Medical Supplies
Class:Outputs Provided
085901 Health Supplies to LG Units, General & Regional Hospitals
085902 Health Supplies to National Referral Hospitals
Class:Capital Purchases
085975 Purchase of Motor Vehicles and Other Transport Equipment",Unknown,75.71,,,,,
010,Agriculture,"Output Class: Outputs Provided
224001 Medical and Agricultural supplies
Output Class: Capital Purchases
312204 Taxes on Machinery, Furniture & Vehicles",Unknown,75.71,,,,,
014,Health,VF:0852 Human Resource Management for Health,Unknown,2.56,,,,,
010,Agriculture,"Output Class: Outputs Provided
211103 Allowances
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
222001 Telecommunications
223003 Rent - Produced Assets to private entities
223005 Electricity
223006 Water
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
227001 Travel Inland
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
Output Class: Outputs Provided
211101 General Staff Salaries",Unknown,1.86,,,,,
010,Agriculture,"Output Class: Outputs Provided 9.84 11.44 11.44 116.3% 116.2% 99.9%
211103 Allowances 1.05 1.32 1.32 125.7% 125.6% 100.0%
213001 Medical Expenses(To Employees) 0.01 0.01 0.01 100.0% 99.6% 99.6%
221001 Advertising and Public Relations 0.56 0.56 0.56 100.0% 100.0% 100.0%
221003 Staff Training 0.11 0.11 0.11 100.0% 100.0% 100.0%
221006 Commissions and Related Charges 0.02 0.02 0.02 100.0% 100.0% 100.0%
221007 Books, Periodicals and Newspapers 0.00 0.00 0.00 100.0% 100.0% 100.0%
221008 Computer Supplies and IT Services 0.09 0.09 0.09 100.0% 100.0% 100.0%
221009 Welfare and Entertainment 0.12 0.12 0.12 100.0% 99.4% 99.4%
221011 Printing, Stationery, Photocopying and Binding 0.13 0.13 0.13 100.0% 100.0% 100.0%
221012 Small Office Equipment 0.08 0.08 0.08 100.0% 100.0% 100.0%
222001 Telecommunications 0.18 0.18 0.18 100.0% 100.0% 100.0%
223003 Rent - Produced Assets to private entities 0.13 0.13 0.12 100.0% 99.9% 99.9%
223004 Guard and Security services 0.08 0.08 0.08 100.0% 99.6% 99.6%
223005 Electricity 1.76 1.76 1.76 100.0% 100.0% 100.0%
223006 Water 0.76 0.76 0.76 100.0% 100.0% 100.0%
223007 Other Utilities- (fuel, gas, f 0.02 0.02 0.02 100.0% 100.0% 100.0%
224001 Medical and Agricultural supplies 2.45 3.08 3.08 125.7% 125.7% 100.0%
224002 General Supply of Goods and Services 0.87 1.27 1.27 146.2% 146.2% 100.0%
227001 Travel Inland 0.28 0.28 0.28 100.0% 100.0% 100.0%
227002 Travel Abroad 0.28 0.28 0.28 100.0% 99.9% 99.9%
227004 Fuel, Lubricants and Oils 0.20 0.20 0.20 100.0% 100.0% 100.0%
228001 Maintenance - Civil 0.27 0.27 0.26 100.0% 98.0% 98.0%
228002 Maintenance - Vehicles 0.18 0.23 0.23 127.5% 127.5% 100.0%
228003 Maintenance Machinery, Equipment and Furniture 0.02 0.12 0.12 732.9% 732.9% 100.0%
228004 Maintenance Other 0.20 0.35 0.35 175.0% 175.0% 100.0%
Output Class: Outputs Funded 1.78 1.78 1.78 100.0% 100.0% 100.0%",Unknown,116.3,,,,,
014,Health,VF:0855 Provision of Specialised Mental Health Services,Unknown,12.71,,,,,
014,Health,"VF:0855 Provision of Specialised Mental Health Services
Class:Outputs Provided
085501 Administration and Management
085502 Mental Health inpatient Services Provided
085503 Long Term Planning for Mental Health
085504 Specialised Outpatient and PHC Services Provided
085505 Community Mental Health Services and Technical Supervision
Class:Capital Purchases
085572 Government Buildings and Administrative Infrastructure
085577 Purchase of Specialised Machinery & Equipment
085578 Purchase of Office and Residential Furniture and Fittings",Unknown,12.71,,,,,
010,Agriculture,"221003 Staff Training
221006 Commissions and Related Charges
221007 Books, Periodicals and Newspapers
221008 Computer Supplies and IT Services
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221014 Bank Charges and other Bank related costs
221016 IFMS Recurrent Costs
222001 Telecommunications
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, f
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
225001 Consultancy Services- Short-term
227001 Travel Inland
227002 Travel Abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
228004 Maintenance Other
Output Class: Capital Purchases
281504 Monitoring, Supervision and Appraisal of Capital
312101 Non-Residential Buildings
312102 Residential Buildings
312202 Machinery and Equipment
312203 Furniture and Fixtures
312204 Taxes on Machinery, Furniture & Vehicles
Output Class: Outputs Provided
211101 General Staff Salaries",Unknown,0.19,,,,,
014,Health,"VF:0856 Regional Referral Hospital Services
Class:Outputs Provided
085601 Inpatient services
085602 Outpatient services
085603 Medicines and health supplies procured and dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
Class:Capital Purchases
085672 Government Buildings and Administrative Infrastructure
085673 Roads, Streets and Highways
085675 Purchase of Motor Vehicles and Other Transport Equipment
085676 Purchase of Office and ICT Equipment, including Software
085677 Purchase of Specialised Machinery & Equipment
085678 Purchase of Office and Residential Furniture and Fittings
085699 Arrears",Unknown,46.51,,,,,
010,Agriculture,"223001 Property Expenses
223002 Rates
223003 Rent - Produced Assets to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, f
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
225001 Consultancy Services- Short-term
227001 Travel Inland
227002 Travel Abroad
227003 Carriage, Haulage, Freight and Transport Hire
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
228004 Maintenance Other
281401 Rental non produced assets
Output Class: Capital Purchases
281503 Engineering and Design Studies and Plans for Capi
281504 Monitoring, Supervision and Appraisal of Capital
312101 Non-Residential Buildings
312102 Residential Buildings
312103 Roads and Bridges
312104 Other Structures
312201 Transport Equipment
312202 Machinery and Equipment
312203 Furniture and Fixtures
Output Class: Arrears
321612 Water Arrears
321614 Electricity Arrears
Output Class: Outputs Provided
211101 General Staff Salaries",Unknown,0.14,,,,,
014,Health,VF:0881 Primary Healthcare,Unknown,192.9,,,,,
014,Health,"VF:0881 Primary Healthcare
Class:Outputs Provided
088100 Primary Health Care",Unknown,192.9,,,,,
013,Education,"VF:0901 Rural Water Supply and Sanitation 5.03 7.03 7.02 139.7% 139.5% 99.9%
Class:Outputs Provided 2.48 2.38 2.37 95.9% 95.5% 99.7%
090101 Back up support for O & M of Rural Water 0.79 0.79 0.79 100.0% 99.4% 99.4%
090102 Administration and Management services 0.52 0.42 0.42 80.4% 80.2% 99.7%
090103 Promotion of sanitation and hygiene education 0.12 0.12 0.12 100.0% 99.9% 99.9%
090104 Research and development of appropriate water and sanitation 0.10 0.10 0.10 100.0% 98.6% 98.6%
technologies
090105 Monitoring and capacity building of LGs,NGOs and CBOs 0.94 0.94 0.94 100.0% 100.0% 100.0%
Class:Capital Purchases 2.55 4.65 4.65 182.2% 182.2% 100.0%
090172 Government Buildings and Administrative Infrastructure 2.50 4.60 4.60 184.1% 184.1% 100.0%
090175 Purchase of Motor Vehicles and Other Transport Equipment 0.00 0.00 0.00 N/A N/A N/A
090176 Purchase of Office and ICT Equipment, including Software 0.06 0.06 0.06 100.0% 100.0% 100.0%
090199 Arrears 0.00 0.00 0.00 N/A N/A N/A",Unknown,139.7,,,,,
010,Agriculture,"Output Class: Outputs Provided 13.31 15.26 15.26 114.7% 114.6% 100.0%
211102 Contract Staff Salaries (Incl. Casuals, Temporary) 0.22 0.22 0.22 99.2% 98.9% 99.7%
211103 Allowances 0.94 0.73 0.73 77.1% 77.1% 100.0%
211104 Statutory salaries 0.05 0.00 0.00 0.0% 0.0% N/A
213001 Medical Expenses(To Employees) 0.00 0.00 0.00 100.0% 100.0% 100.0%
213002 Incapacity, death benefits and funeral expenses 0.53 0.53 0.53 100.0% 100.0% 100.0%
221001 Advertising and Public Relations 0.07 0.07 0.07 100.0% 100.0% 100.0%
221002 Workshops and Seminars 0.58 0.58 0.58 100.0% 99.6% 99.6%
221003 Staff Training 0.18 0.18 0.18 100.0% 100.0% 100.0%
221005 Hire of Venue (chairs, projector etc) 0.00 0.00 0.00 100.0% 100.0% 100.0%
221006 Commissions and Related Charges 0.01 0.01 0.01 100.0% 97.6% 97.6%
221007 Books, Periodicals and Newspapers 0.05 0.05 0.05 100.0% 100.0% 100.0%
221008 Computer Supplies and IT Services 0.04 0.04 0.04 100.0% 100.0% 100.0%
221009 Welfare and Entertainment 0.38 0.38 0.38 100.0% 100.0% 100.0%
221010 Special Meals and Drinks 0.01 0.01 0.01 100.0% 100.0% 100.0%
221011 Printing, Stationery, Photocopying and Binding 0.56 0.56 0.56 99.9% 99.9% 100.0%
221012 Small Office Equipment 0.10 0.10 0.10 100.0% 99.7% 99.7%
221016 IFMS Recurrent Costs 0.06 0.06 0.06 100.0% 100.0% 100.0%
222001 Telecommunications 0.12 0.12 0.12 100.0% 100.0% 100.0%
222002 Postage and Courier 0.01 0.01 0.01 100.0% 100.0% 100.0%
222003 Information and Communications Technology 0.06 0.06 0.06 100.0% 100.0% 100.0%
223003 Rent - Produced Assets to private entities 1.55 1.55 1.55 100.0% 100.0% 100.0%
223004 Guard and Security services 0.08 0.08 0.08 100.0% 100.0% 100.0%
223005 Electricity 0.12 0.12 0.12 100.0% 100.0% 100.0%
223006 Water 0.05 0.05 0.05 100.0% 100.0% 100.0%
224001 Medical and Agricultural supplies 0.03 0.03 0.03 100.0% 100.0% 100.0%
224002 General Supply of Goods and Services 3.92 7.04 7.04 179.7% 179.7% 100.0%
225001 Consultancy Services- Short-term 0.10 0.10 0.10 100.0% 100.0% 100.0%
225003 Taxes on (Professional) Services 0.05 0.05 0.05 100.0% 100.0% 100.0%
227001 Travel Inland 0.80 0.80 0.80 100.0% 100.0% 100.0%
227002 Travel Abroad 0.61 0.46 0.46 75.5% 75.5% 100.0%
227004 Fuel, Lubricants and Oils 0.69 0.52 0.52 75.9% 75.9% 100.0%",Unknown,114.7,,,,,
014,Health,"VF:1003 Promotion of Labour Productivity and Employment 2.35 2.07 2.07 88.0% 87.9% 99.9%
Recurrent Programmes
06 Labour and Industrial Relations 0.76 0.72 0.72 95.1% 95.0% 100.0%
07 Occupational Safety and Health 0.67 0.56 0.56 84.2% 84.1% 99.9%
08 Industrial Court 0.20 0.15 0.15 76.3% 76.3% 100.0%
15 Employment Services 0.69 0.60 0.60 86.8% 86.5% 99.6%
Development Projects
0338 Elimination of Child Labour 0.04 0.04 0.04 97.9% 97.8% 99.9%",Unknown,88.0,,,,,
013,Education,"VF:1212 Peace Building 2.95 1.30 1.30 44.2% 44.2% 100.0%
Class:Outputs Provided 0.10 0.08 0.08 84.5% 84.5% 100.0%
121201 Prevention of proliferation of illicit SALW. 0.08 0.07 0.07 85.6% 85.6% 100.0%
121202 Enhanced public awareness and education on SALW and 0.01 0.00 0.00 76.8% 76.8% 100.0%
CEWERU.
121203 Implementing Institutions strengthened. 0.02 0.01 0.01 81.8% 81.8% 100.0%",Unknown,44.2,,,,,
010,Agriculture,"223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, f
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
224003 Classified Expenditure
225002 Consultancy Services- Long-term
226001 Insurances
226002 Licenses
227001 Travel Inland
227002 Travel Abroad
227003 Carriage, Haulage, Freight and Transport Hire
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
229200 Sale of goods purchased for resale
282101 Donations
Output Class: Outputs Funded
262101 Contributions to International Organisations (Curre
Output Class: Capital Purchases
311101 Land
312101 Non-Residential Buildings
312102 Residential Buildings
312201 Transport Equipment
312202 Machinery and Equipment
312203 Furniture and Fixtures
312204 Taxes on Machinery, Furniture & Vehicles
Output Class: Arrears
321605 Domestic arrears
321612 Water Arrears
321613 Telephone Arrears
321614 Electricity Arrears
Output Class: Outputs Provided
211101 General Staff Salaries",Unknown,11.67,,,,,
010,Agriculture,"Output Class: Outputs Provided 23.20 30.42 30.21 131.1% 130.2% 99.3%
211103 Allowances 0.63 0.63 0.62 100.0% 98.3% 98.3%
211104 Statutory salaries 0.04 0.04 0.04 100.0% 100.0% 100.0%
213001 Medical Expenses(To Employees) 0.07 0.07 0.07 100.0% 96.9% 96.9%
213002 Incapacity, death benefits and funeral expenses 0.04 0.04 0.04 100.0% 100.0% 100.0%
221001 Advertising and Public Relations 0.05 0.05 0.05 100.0% 100.0% 100.0%
221002 Workshops and Seminars 0.15 0.15 0.15 100.0% 99.5% 99.5%
221003 Staff Training 0.22 0.22 0.22 100.0% 100.0% 100.0%
221004 Recruitment Expenses 0.06 0.06 0.06 100.0% 100.0% 100.0%
221006 Commissions and Related Charges 0.16 0.16 0.14 100.0% 82.4% 82.4%
221007 Books, Periodicals and Newspapers 0.01 0.01 0.01 100.0% 100.0% 100.0%
221008 Computer Supplies and IT Services 0.09 0.09 0.09 100.0% 100.0% 100.0%
221009 Welfare and Entertainment 0.07 0.07 0.07 100.0% 100.0% 100.0%
221010 Special Meals and Drinks 0.10 0.10 0.10 100.0% 100.0% 100.0%
221011 Printing, Stationery, Photocopying and Binding 0.12 0.12 0.11 100.0% 100.0% 100.0%
221012 Small Office Equipment 0.01 0.01 0.01 100.0% 96.1% 96.1%
221014 Bank Charges and other Bank related costs 0.00 0.00 0.00 100.0% 0.0% 0.0%
221016 IFMS Recurrent Costs 0.05 0.05 0.05 100.0% 100.0% 100.0%
221017 Subscriptions 0.01 0.01 0.01 100.0% 100.0% 100.0%
222001 Telecommunications 0.20 0.20 0.20 100.0% 100.0% 100.0%
222003 Information and Communications Technology 0.04 0.04 0.04 100.0% 99.4% 99.4%
223003 Rent - Produced Assets to private entities 0.05 0.05 0.05 100.0% 99.3% 99.3%
223005 Electricity 3.98 3.98 3.98 100.0% 100.0% 100.0%
223006 Water 0.70 0.70 0.70 100.0% 100.0% 100.0%
223007 Other Utilities- (fuel, gas, f 0.53 1.61 1.61 302.9% 301.7% 99.6%
224001 Medical and Agricultural supplies 0.11 0.11 0.11 100.0% 100.0% 100.0%
224002 General Supply of Goods and Services 11.14 17.19 17.07 154.3% 153.2% 99.3%
225001 Consultancy Services- Short-term 0.04 0.04 0.04 100.0% 99.8% 99.8%
227001 Travel Inland 0.73 0.76 0.75 103.0% 102.2% 99.3%
227002 Travel Abroad 0.14 0.21 0.21 152.0% 151.9% 99.9%",Unknown,131.1,,,,,
013,Education,"VF:1258 Recruitment, Discipline, Research &Civic Education",Unknown,1.62,,,,,
013,Education,"VF:1258 Recruitment, Discipline, Research &Civic Education
Class:Outputs Provided
125801 Recruitment of Judicial Officers
125802 Public Complaints System
125803 Public awareness and participation in justice administration
125805 Administrative and human resource support
125806 Research and planning for administration of justice
Class:Capital Purchases",Unknown,1.62,,,,,
010,Agriculture,"221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent Costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and Communications Technology
223001 Property Expenses
223003 Rent - Produced Assets to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
224003 Classified Expenditure
225001 Consultancy Services- Short-term
225002 Consultancy Services- Long-term
227001 Travel Inland
227002 Travel Abroad
227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
228004 Maintenance Other
282091 Tax Account
282101 Donations
282104 Compensation to 3rd Parties
321440 Other Grants
Output Class: Outputs Funded
263104 Transfers to other gov't units(current)
263105 Treasury transfers to Agencies(current)
263321 Conditional trans. to Autonomo
264101 Contributions to Autonomous Inst.
264102 Contributions to Autonomous Inst. Wage Subventio
Output Class: Capital Purchases
312101 Non-Residential Buildings
312103 Roads and Bridges
312201 Transport Equipment
312202 Machinery and Equipment
312203 Furniture and Fixtures
312204 Taxes on Machinery, Furniture & Vehicles
Output Class: Arrears
321612 Water Arrears
Output Class: Outputs Provided
211101 General Staff Salaries",Unknown,0.09,,,,,
010,Agriculture,"VF:1321 District Administration and Development 1.78 2.65 2.56 148.9% 144.1% 96.8%
Recurrent Programmes
02 District and Urban Administration 0.00 0.00 0.00 N/A N/A N/A
08 District Administration Department 0.28 0.26 0.26 95.0% 92.6% 97.5%
Development Projects
0107 Agriculture Sector Programme Support-ASPS 0.13 0.13 0.13 99.2% 98.4% 99.2%
0108 Area Based Agriculture Modernisation Programme S/S 0.00 0.00 0.00 N/A N/A N/A
0110 Hoima, Kibale & Kabarole DDSP 0.00 0.00 0.00 N/A N/A N/A
0113 LGDP 2 Component 3 - Capacity Building 0.00 0.00 0.00 N/A N/A N/A
0118 LGDP2 Comp 1 Support to overall decentralisation 0.00 0.00 0.00 N/A N/A N/A
0325 Energy for Rural Transformation Project - MoLG 0.00 0.00 0.00 N/A N/A N/A
1066 District Livelihood Support Programme 0.47 0.76 0.76 162.9% 162.4% 99.7%
1068 CAIIP 0.21 0.30 0.29 141.1% 136.0% 96.4%
1069 Participatory Development Project 0.10 0.28 0.27 280.5% 270.9% 96.6%
1073 LG Management and Service Delivery Programme 0.59 0.92 0.86 154.6% 145.2% 93.9%
1088 Markets and Agriculture Trade Improvement Project 0.00 0.00 0.00 N/A N/A N/A
1089 LGSIP Support to District Development 0.00 0.00 0.00 N/A N/A N/A
1089a LGSIP Support to District Development 0.00 0.00 0.00 N/A N/A N/A
1156 SUPPORT TO DECENTRALISATION PROGRAMME 0.00 0.00 0.00 N/A N/A N/A
X002 CAIIP 2 0.00 0.00 0.00 N/A N/A N/A",Unknown,148.9,,,,,
010,Agriculture,"VF:1321 District Administration and Development 1.78 2.65 2.56 148.9% 144.1% 96.8%
Recurrent Programmes
02 District and Urban Administration 0.00 0.00 0.00 N/A N/A N/A
08 District Administration Department 0.28 0.26 0.26 95.0% 92.6% 97.5%
Development Projects
0107 Agriculture Sector Programme Support-ASPS 0.13 0.13 0.13 99.2% 98.4% 99.2%
0108 Area Based Agriculture Modernisation Programme S/S 0.00 0.00 0.00 N/A N/A N/A
0110 Hoima, Kibale & Kabarole DDSP 0.00 0.00 0.00 N/A N/A N/A
0113 LGDP 2 Component 3 - Capacity Building 0.00 0.00 0.00 N/A N/A N/A
0118 LGDP2 Comp 1 Support to overall decentralisation 0.00 0.00 0.00 N/A N/A N/A
0325 Energy for Rural Transformation Project - MoLG 0.00 0.00 0.00 N/A N/A N/A
1066 District Livelihood Support Programme 0.47 0.76 0.76 162.9% 162.4% 99.7%
1068 CAIIP 0.21 0.30 0.29 141.1% 136.0% 96.4%
1069 Participatory Development Project 0.10 0.28 0.27 280.5% 270.9% 96.6%
1073 LG Management and Service Delivery Programme 0.59 0.92 0.86 154.6% 145.2% 93.9%
1088 Markets and Agriculture Trade Improvement Project 0.00 0.00 0.00 N/A N/A N/A
1089 LGSIP Support to District Development 0.00 0.00 0.00 N/A N/A N/A
1089a LGSIP Support to District Development 0.00 0.00 0.00 N/A N/A N/A
1156 SUPPORT TO DECENTRALISATION PROGRAMME 0.00 0.00 0.00 N/A N/A N/A
X002 CAIIP 2 0.00 0.00 0.00 N/A N/A N/A",Unknown,148.9,,,,,
