Vote,Sector,Subprogram,Financial Year,Released Budget (UGX),Actual Expenditure (UGX),Source File
13,Education,"0701 Pre-Primary and Primary Education
0702 Secondary Education
0704 Higher Education
0705 Skills Development
0706 Quality and Standards
0707 Physical Education and Sports
0710 Special Needs Education
0711 Guidance and Counselling
0749 Policy, Planning and Support Services",2016-17,143.72,122.88,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0701 Pre-Primary and Primary Education,2016-17,143.72,122.88,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0702 Secondary Education,2016-17,15.9,11.2,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0704 Higher Education,2016-17,157.07,122.03,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Funded
070551 Operational Support to UPPET BTVET Institutions
070552 Assessment and Technical Support for Health
Workers and Colleges
070553 Assessment and Profiling of Industrial Skills (DIT,
Industrial Training Council)
070554 Operational Support to Government Technical
Colleges",2016-17,37.71,35.16,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Provided
070601 Policies, laws, guidelines, plans and strategies
070602 Curriculum Training of Teachers
070604 Training and Capacity Building of Inspectors and
Education Managers",2016-17,9.71,9.5,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0707 Physical Education and Sports,2016-17,12.21,14.07,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0710 Special Needs Education,2016-17,3.55,2.25,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Funded
071051 Special Needs Education Services",2016-17,0.64,0.64,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Provided
074901 Policy, consultation, planning and monitoring
services
074902 Ministry Support Services
074903 Ministerial and Top Management Services
074904 Education Data and Information Services
074905 Financial Management and Accounting Services
074906 Education Sector Co-ordination and Planning
074919 Human Resource Management Services",2016-17,40.1,36.14,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0701 Pre-Primary and Primary Education,2016-17,143.72,122.88,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,02 Basic Education,2016-17,23.53,21.26,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"1232 Karamoja Primary Education Project
1296 Uganda Teacher and School Effectiveness Project
1339 Emergency Construction of Primary Schools Phase II",2016-17,0.76,0.62,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0702 Secondary Education,2016-17,15.9,11.2,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"03 Secondary Education
14 Private Schools Department",2016-17,1.56,1.27,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,0897 Development of Secondary Education (0897),2016-17,13.3,9.19,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0704 Higher Education,2016-17,157.07,122.03,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,07 Higher Education,2016-17,29.87,25.52,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"1241 Development of Uganda Petroleum Institute Kigumba
1273 Support to Higher Education, Science & Technology",2016-17,8,2.51,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"0942 Development of BTVET
1270 Support to National Health & Departmental Training
Institutions
1310 Albertine Region Sustainable Development Project
1338 Skills Development Project
1368 John Kale Institute of Science and Technology (JKIST)
1378 Support to the Implementation of Skilling Uganda
Strategy (BTC)
1412 The Technical Vocational Education and Training
(TVET-LEAD)",2016-17,79.7,53.38,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"0942 Development of BTVET
1270 Support to National Health & Departmental Training
Institutions
1310 Albertine Region Sustainable Development Project
1338 Skills Development Project
1368 John Kale Institute of Science and Technology (JKIST)
1378 Support to the Implementation of Skilling Uganda
Strategy (BTC)
1412 The Technical Vocational Education and Training
(TVET-LEAD)",2016-17,79.7,53.38,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"04 Teacher Education
09 Education Standards Agency
1233 Improving the Training of BTVET Technical
Instructors, Health Tutors & Secondary Teachers in Uganda",2016-17,8.85,8.83,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"04 Teacher Education
09 Education Standards Agency
1233 Improving the Training of BTVET Technical
Instructors, Health Tutors & Secondary Teachers in Uganda",2016-17,8.85,8.83,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0707 Physical Education and Sports,2016-17,12.21,14.07,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0710 Special Needs Education,2016-17,3.55,2.25,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,06 Special Needs Education and Career Guidance,2016-17,1.49,1.25,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"1308 Development and Improvement of Special Needs
Education (SNE)",2016-17,2.06,1,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Programme: 0701 Pre-Primary and Primary Education 109.67 95.98 51.53 87.5% 47.0% 53.7%
Development Projects.
1296 Uganda Teacher and School Effectiveness Project 109.67 95.98 51.53 87.5% 47.0% 53.7%",2016-17,109.67,95.98,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Programme: 0702 Secondary Education 2.72 0.74 0.09 27.3% 3.3% 12.2%
Development Projects.
0897 Development of Secondary Education (0897) 2.72 0.74 0.09 27.3% 3.3% 12.2%",2016-17,2.72,0.74,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Programme: 0704 Higher Education 93.49 75.61 59.07 80.9% 63.2% 78.1%
Development Projects.
1273 Support to Higher Education, Science & Technology 93.49 75.61 59.07 80.9% 63.2% 78.1%",2016-17,93.49,75.61,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Programme: 0706 Quality and Standards 49.16 22.49 14.65 45.7% 29.8% 65.1%
Development Projects.
1233 Improving the Training of BTVET Technical 49.16 22.49 14.65 45.7% 29.8% 65.1%
Instructors, Health Tutors & Secondary Teachers in Uganda",2016-17,49.16,22.49,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,0751 Delivery of Tertiary Education and Research,2016-17,33.96,29.5,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Programme 0751 Delivery of Tertiary Education and
Research",2016-17,32.61,29.5,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Programme 0751 Delivery of Tertiary Education and
Research",2016-17,32.61,29.5,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,0708 Education and Social Services,2016-17,36.5,38.15,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0708 Education and Social Services,2016-17,36.5,38.15,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Provided
070801 Policies, Laws and strategy development
070802 School Inspection
070803 Community civic education
070804 Sports Development
070807 Primary Education Services (Wage)
070808 Secondary Education Services (Wage)
070809 Tertiary Education Services (Wage)",2016-17,27.7,29.34,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Funded
070851 Primary education services
070852 Secondary education services
070853 Tertiary education services
070854 Health Training Institutions
070855 Primary Teachers' Colleges",2016-17,6.13,6.13,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Funded
070851 Primary education services
070852 Secondary education services
070853 Tertiary education services
070854 Health Training Institutions
070855 Primary Teachers' Colleges",2016-17,6.13,6.13,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Capital Purchases
070880 Primary education infrastructure construction
070881 Secondary education infrastructure construction",2016-17,2.67,2.67,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0708 Education and Social Services,2016-17,36.5,38.15,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,11 Education and Social Services,2016-17,33.83,35.48,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,0751 Delivery of Tertiary Education and Research,2016-17,12.16,10.42,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Programme 0751 Delivery of Tertiary Education and
Research",2016-17,12.16,10.42,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Programme 0751 Delivery of Tertiary Education and
Research",2016-17,12.16,10.42,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Provided
070901 Primary Leaving Examinations
070902 Secondary Education
070903 Administration and Support Services",2016-17,68.92,62.41,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,0752 Education Personnel Policy and Management,2016-17,6.56,6.56,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Programme 0752 Education Personnel Policy and
Management",2016-17,6.56,6.56,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Provided
075201 Management of Education Service Personnel
075202 Policy ,Monitoring, Evaluation and Research
075203 Finance and Administration
075204 Internal Audit
075205 Procurement Services
075206 Information Science",2016-17,5.91,5.91,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,1271 Support to Education Service Commission,2016-17,0.65,0.65,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,0751 Delivery of Tertiary Education,2016-17,227.87,218.6,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,227.87,218.6,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,227.87,218.6,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,0751 Delivery of Tertiary Education,2016-17,39.63,36.19,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,39.63,36.19,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,39.63,36.19,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,0751 Delivery of Tertiary Education,2016-17,65.83,58.72,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,65.83,58.72,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,65.83,58.72,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,0751 Delivery of Tertiary Education,2016-17,96.11,103.87,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,96.11,103.87,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,96.11,103.87,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,0751 Delivery of Tertiary Education,2016-17,27.67,19.26,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,27.67,19.26,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,27.67,19.26,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,0751 Delivery of Tertiary Education and Research,2016-17,35.98,34.4,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Programme 0751 Delivery of Tertiary Education and
Research",2016-17,34.95,34.4,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Programme 0751 Delivery of Tertiary Education and
Research",2016-17,34.95,34.4,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,0751 Delivery of Tertiary Education,2016-17,10.15,9.85,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,10.15,9.85,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211102 Contract Staff Salaries (Incl. Casuals, Temporary)
211103 Allowances
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221004 Recruitment Expenses
221006 Commissions and related charges
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221014 Bank Charges and other Bank related costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
224001 Medical and Agricultural supplies
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
225001 Consultancy Services- Short term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture
228004 Maintenance – Other
273101 Medical expenses (To general Public)",2016-17,6.86,6.4,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,10.15,9.85,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Provided
071201 Pre-Primary and Primary Curriculum
071202 Secondary Education Curriculum
071203 Production of Instructional Materials
071204 BTVET Curriculum
071205 Research, Evaluation, Consultancy and Publications
071206 Administration and Support Services",2016-17,8.88,7.34,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,0751 Delivery of Tertiary Education,2016-17,13.74,11.51,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,13.74,11.51,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,13.74,11.51,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,0751 Delivery of Tertiary Education,2016-17,11.01,8.43,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,11.01,8.43,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,2016-17,11.01,8.43,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"0801 Health Monitoring and Quality Assurance
0802 Health infrastructure and equipment
0803 Health Research
0804 Clinical and public health
0805 Pharmaceutical and other Supplies
0849 Policy, Planning and Support Services",2016-17,1,0.83,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Programme 0801 Health Monitoring and Quality
Assurance",2016-17,1,0.83,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,Programme 0802 Health infrastructure and equipment,2016-17,245.09,140.8,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
080201 Monitoring, Supervision and Evaluation of Health
Systems",2016-17,26.82,20.36,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,Programme 0803 Health Research,2016-17,1,1,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Funded
080351 Specialised Medical Research in HIV/AIDS and
Clinical Care (JCRC)
080352 Support to Uganda National Health Research
Organisation(UNHRO)",2016-17,1,1,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,Programme 0804 Clinical and public health,2016-17,40.44,29.18,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
080401 Community health services provided (control of
communicable and non communicable diseases)
080402 Clinical health services provided (infrastructure,
pharmaceutical, integrated curative)
080403 National endemic and epidemic disease control
services provided
080404 Technical support, monitoring and evaluation of
service providers and facilities
080405 Immunisation services provided
080406 Coordination of Clinical and Public Health including
the Response to the Nodding Disease
080407 Provision of standards,Leadership, guidance and
support to nursing services
080408 Photo-biological Control of Malaria
080409 Indoor Residual Spraying (IRS) services provided
080410 Maintenance of medical and solar equipment
080411 Coordination of clinical and public health
emergencies including the response to the nodding syndrome
080412 National Ambulance Services provided",2016-17,24.81,18.27,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
080501 Preventive and curative Medical Supplies (including
immuninisation)
080502 Strengthening Capacity of Health Facility Managers
080503 Monitoring and Evaluation Capacity Improvement",2016-17,554.75,372.17,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Funded
080551 Transfer to Autonomous Health Institutions",2016-17,2.5,0.33,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
084901 Policy, consultation, planning and monitoring
services
084902 Ministry Support Services
084903 Ministerial and Top Management Services
084904 Health Sector reforms including financing and
national health accounts
084919 Human Resource Management Services",2016-17,38.25,17.75,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Funded
084951 Transfers to International Health Organisation
084952 Health Regulatory Councils
084953 Support to the Recruitment of Health Workers at HC
III and IV",2016-17,1.15,0.56,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Programme 0801 Health Monitoring and Quality
Assurance",2016-17,1,0.83,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,Programme 0802 Health infrastructure and equipment,2016-17,245.09,140.8,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"0216 District Infrastructure Support Programme
1027 Insitutional Support to MoH
1123 Health Systems Strengthening
1185 Italian Support to HSSP and PRDP
1187 Support to Mulago Hospital Rehabilitation
1243 Rehabilitation and Construction of General Hospitals
1315 Construction of Specialised Neonatal and Maternal
Unit in Mulago Hospital
1344 Renovation and Equiping of Kayunga and Yumbe
General Hospitals
1393 Construction and Equipping of the International
Specialized Hospital of Uganda
1394 Regional Hospital for Paediatric Surgery",2016-17,9.49,9.13,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,Programme 0803 Health Research,2016-17,1,1,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Programme: 0802 Health infrastructure and equipment 189.80 105.77 145.20 55.7% 76.5% 137.3%
Development Projects.
1123 Health Systems Strengthening 124.29 28.65 28.65 23.1% 23.1% 100.0%
1185 Italian Support to HSSP and PRDP 5.12 0.00 0.00 0.0% 0.0% 0.0%
1187 Support to Mulago Hospital Rehabilitation 31.41 38.71 78.14 123.2% 248.8% 201.9%
1243 Rehabilitation and Construction of General Hospitals 10.28 0.00 0.00 0.0% 0.0% 0.0%
1315 Construction of Specialised Neonatal and Maternal 13.36 38.40 38.40 287.5% 287.5% 100.0%
Unit in Mulago Hospital
1344 Renovation and Equiping of Kayunga and Yumbe 5.34 0.00 0.00 0.0% 0.0% 0.0%
General Hospitals",2016-17,189.8,105.77,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211103 Allowances
212102 Pension for General Civil Service
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221006 Commissions and related charges
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221014 Bank Charges and other Bank related costs
221016 IFMS Recurrent costs
221017 Subscriptions
221020 IPPS Recurrent Costs
222001 Telecommunications
222003 Information and communications technology (ICT)
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
224001 Medical and Agricultural supplies
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
227001 Travel inland
227002 Travel abroad
227003 Carriage, Haulage, Freight and transport hire
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles",2016-17,20.84,6.92,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"085914 Supply of Emergency and Donated Medicines
085915 Supply of Reproductive Health Items
085916 Immunisation Supplies
085917 Supply of Lab Commodities to accredited Facilities",2016-17,2.5,2.5,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"Class: Outputs Provided
224001 Medical and Agricultural supplies",2016-17,237.96,264.96,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,01 Pharmaceuticals and Other Health Supplies,2016-17,237.96,264.96,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,0807 Community Health Management,2016-17,8.68,7.53,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,Programme 0807 Community Health Management,2016-17,8.68,7.53,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
080703 Primary Health Care Services (Wages)
080704 Primary Health Care Services (Operations)",2016-17,5.14,5.27,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Funded
080751 Provision of Urban Health Services",2016-17,0.8,0.8,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Capital Purchases
080780 Health Infrastructure Construction
080781 Health Infrastructure Rehabilitation",2016-17,2.74,1.45,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
221002 Workshops and Seminars
221009 Welfare and Entertainment
223005 Electricity
223006 Water
224001 Medical and Agricultural supplies
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear",2016-17,5.14,5.27,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,Programme 0807 Community Health Management,2016-17,8.68,7.53,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,08 Public Health,2016-17,5.94,6.08,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,0852 Human Resource Management for Health,2016-17,5.26,5.14,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Programme 0852 Human Resource Management for
Health",2016-17,5.14,5.14,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
085202 Secretariat Support Services
085205 Technical Support and Support Supervision
085206 Health Workers Recruitment and Human Resource
for Health Management Services",2016-17,4.69,4.69,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Programme 0852 Human Resource Management for
Health",2016-17,5.14,5.14,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
085401 Inpatient Services - National Referral Hospital
085402 Outpatient Services - National Referral Hospital
085403 Medical and Health Supplies Procured and
Dispensed - National Referral Hospital
085404 Diagnostic Services
085405 Hospital Management and Support Services -
National Referral Hospital
085407 Immunisation Services",2016-17,45.55,42.51,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,0855 Provision of Specialised Mental Health Services,2016-17,12.05,12.07,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Programme 0855 Provision of Specialised Mental Health
Services",2016-17,12.04,12.07,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
085501 Administration and Management
085502 Mental Health inpatient Services Provided
085503 Long Term Planning for Mental Health
085504 Specialised Outpatient and PHC Services Provided
085505 Community Mental Health Services and Technical
Supervision
085506 Immunisation Services",2016-17,10.23,10.26,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
